Ball Number,Summary,Description
8.4,"Santner to Gill,1 run","Length on leg, clipped to midwicket"
8.3,"Santner to Gill,no run","Good ball. On a length, off-stump line, 91ks. Gill looks to defend to the bowler's left, thick outside edge takes it towards point"
8.2,"Santner to Gill,no run","Length on fourth, jabbed with a horizontal bat to cover"
8.1,"Santner to Gill,no run","Length on fourth, square driven late. Finds point. Santner gave it air, got good bounce. No spin though"
7.6,"Smith to Rohit Sharma,FOUR runs","Slapped over point, NZ's pacers getting carted. This was wide, not too short but that didn't matter. Rohit stood in the crease and belted it after the ball came in line with him"
7.5,"Smith to Rohit Sharma,no run",Driven off a length while standing upright. Takes the length ball in the channel to cover
7.4,"Smith to Rohit Sharma,FOUR runs","Brilliant lap sweep lifted over short fine leg! Rohit's back foot was in front of middle, front foot outside off, the torso went across, the head was in line with the ball, Rohit drove the bat through and got it off the middle"
7.3,"Smith to Rohit Sharma,no run","On the pads, looks to flick it. Off the pads it goes into grass"
7.2,"Smith to Rohit Sharma,SIX runs","And it reaches crescendo as the ball clears the straight boundary. Fifty up for India. He stood slightly leg side of the ball, the front foot strode out late, the bat whooshed through the line. The straight drive got a lot of height on it, felt for a second like it was too high, but no, it sailed 83 metres far. Peak height was 25 metres"
7.1,"Smith to Rohit Sharma,no run","Pitched up, punchy drive takes it to mid-on"
6.6,"Jamieson to Rohit Sharma,1 run","Length in the channel, open-faced slice takes it to the left of Phillips at backward point. He swoops and slides it keep it to one"
6.5,"Jamieson to Rohit Sharma,no run","Beaten on the flashing square drive. Back of a length, in the channel, might've bounced more than Rohit expected"
6.4,"Jamieson to Rohit Sharma,FOUR runs","Rohit pulls it over midwicket. One-bounce four. Length ball, top-of-stump height at best. Rohit lifted it with a bat swing going from low to high. Got it flat too"
6.3,"Jamieson to Rohit Sharma,no run","Length on off, defended to cover"
6.2,"Jamieson to Gill,1 run","Mitchell puts down a one-hander at midwicket. India missed a few half-chances, NZ have lost one. He leapt to his right, tried to take it just over head-height, his dive was stunted by the fact that he was too near to the ball. The hands extended, his left leg was up but the right leg and hand were flailing to the right, and the ball burst through. Graphic shows he was 24 metres far. Gill came down the track and tried to whip it. Off the bottom of the bat it came"
6.1,"Jamieson to Gill,no run","Length on leg, defended to the bowler's right"
5.6,"Smith to Gill,1 run","Length on off, 132ks, clipped to deep square leg, who moves to his diagonal right to stop it"
5.5,"Smith to Rohit Sharma,1 run","Length over top of middle, clipped through square leg"
5.4,"Smith to Rohit Sharma,no run","Smith follows him as he makes room this time. 136ks on a length, Rohit has to check his shot, jabs it into the off side of the pitch"
5.3,"Smith to Rohit Sharma,SIX runs","Rohit breaks free this time, that's a massive six over cow corner. Crowd love it. Pre-meditated. He danced down to a 137ks length ball, had a baseball swing across the hip. All horizontal, the ball sailed 92 metres far."
5.2,"Smith to Rohit Sharma,no run","Length at the stumps, worked back to the bowler"
5.1,"Smith to Rohit Sharma,no run","Fullish on fifth, defended to point"
4.6,"Jamieson to Gill,no run","Bad ball, gets away with it. Very wide on a length, 129ks, sat up perfectly for the cut that Gill nailed. Found cover point"
4.5,"Jamieson to Gill,no run","Fullish on fifth, 130ks, might've swung back in a touch. Let go"
4.4,"Jamieson to Rohit Sharma,1 run",Flicks the length ball off the pad through square leg
4.3,"Jamieson to Rohit Sharma,no run","Beaten on the aerial flick, Rohit wanted to go square, maybe even behind. There is deep square leg, 68 metres away. He saw the fullish ball angle in, lifted the back leg and tried to elevate it. Missed it completely"
4.2,"Jamieson to Rohit Sharma,no run","Punches the full ball on fourth, 135ks, to mid-off."
4.1,"Jamieson to Rohit Sharma,no run","Seam-up. Length on middle, defensive flick takes it towards square leg"
3.6,"O'Rourke to Gill,no run","Lbw appeal but that appeared to be going down leg. Fullish length ball at 137ks landed around off, might've swung in late. Gill's head fell over as he tried to hit it through midwicket"
3.5,"O'Rourke to Gill,no run","Length in the channel, vertical-bat punch is firm and goes to cover"
3.4,"O'Rourke to Gill,2 runs","Gill's arms swivel in a flash as he dances down and pulls to the left of deep fine leg. Ravindra charges and tumbles to stop it. Great shot though, 143ks shortish ball, yet Gill forced it with muscle"
3.3,"O'Rourke to Gill,no run","Length on middle and off, 137ks, Gill slides across a touch and closes the flick to midwicket. Played without much weight transfer"
3.3,"O'Rourke to Gill,1 wide",Down leg. Four wides so far this innings. This was fullish and got decent bounce
3.2,"O'Rourke to Gill,2 runs",Soft hands guide the ball behind point. Off a thickish outside edge but Gill ensured he played it close to the body. Was a length ball in the channel
3.1,"O'Rourke to Gill,no run","Length on off, clipped to short midwicket off the back foot"
2.6,"Jamieson to Rohit Sharma,no run","Length at the stumps, worked back to the bowler"
2.5,"Jamieson to Rohit Sharma,2 runs","Fullish on leg, clipped to the left of deep fine leg. 138ks"
2.4,"Jamieson to Rohit Sharma,no run","Rohit takes a chance, it's an ugly miss but the ball goes over middle. Jamieson, and Phillips, have hands on heads. Pre-meditated shot, he danced down and made room to slog it over long-on. The 130ks length ball rose off the pitch and was wider than the bat swing. Rohit was nowhere near but gets away with it."
2.3,"Jamieson to Rohit Sharma,no run","Away movement and low bounce beats the pull. Looked like a length ball, maybe slightly back, and Rohit shaped for the pull early. He committed to fetching from outside off but the seam movement took it well away"
2.2,"Jamieson to Rohit Sharma,no run",Wide-ish length ball let go
2.1,"Jamieson to Gill,1 run","Almost-leave steer to deep third. Gill's bat was behind him, pointing towards the slip almost. The three-quarter-length ball went off the face of the bat, in the gap. Looked like he was in control though"
1.6,"O'Rourke to Rohit Sharma,FOUR runs","Spanked through cover, swing of the bat finishes behind shoulder. Was a good ball actually, on a length in the channel, Rohit holding onto a solid base and nailing it through the line"
1.5,"O'Rourke to Rohit Sharma,no run","Length on middle and off, 137ks, flicked to short midwicket. O'Rourke bowling to the field there. This one's come onto bat nicely"
1.4,"O'Rourke to Rohit Sharma,2 runs","Full on off, flicked along the ground this time. Through the gap at midwicket again, stopped in the outfield"
1.3,"O'Rourke to Rohit Sharma,FOUR runs","Flicked aerially but in the gap to the left of midwicket. 137ks, looked like the inswinger, picked off a fullish length off middle stump. Rohit playing it from the front of the body after standing still for most of the ball's path"
1.2,"O'Rourke to Rohit Sharma,no run","Fullish on fifth, 135ks, defended towards cover"
1.2,"O'Rourke to Gill,2 wide","Tickles a leg glance this time, it's edgy. Half-volleys the keeper, wide enough to his left to ensure Latham can only parry it a few feet to his side. Was a full ball around leg"
1.2,"O'Rourke to Gill,1 wide","Zips off the pitch but that's gone down leg. Fullish length ball delivered from slightly wide of the crease, landed around leg, swung after passing the batter as he tried to glance it"
1.1,"O'Rourke to Gill,no run","Three-quarter length on fifth, Gill happy to take a decent front stride and punch it firmly to cover"
0.6,"Jamieson to Rohit Sharma,no run","Overpitched on fourth, 135ks, swing away. Driven softly, off the middle, to cover"
0.5,"Jamieson to Rohit Sharma,no run","A bit of away movement, that was late swing. Landed around fifth and kept going away. Left alone"
0.5,"Jamieson to Rohit Sharma,1 wide","Wide and full, swing away but it's outside the tramline. Let go"
0.4,"Jamieson to Rohit Sharma,no run","Length on fourth, extra bounce. Good leave"
0.3,"Jamieson to Rohit Sharma,2 runs","Touch too straight, clipped off the pads. Through square leg"
0.2,"Jamieson to Rohit Sharma,SIX runs","Pulled behind square. Old-school Rohit, standing upright, waiting for the shortish ball to reach hip-height and helping it for a flat six."
0.1,"Jamieson to Rohit Sharma,no run","Away swing, low bounce, beats the outside edge. Landed around fourth on a length and finished farther, Rohit crouches and reaches out with an open-faced bat. Close call but gets away with it"
